192.99.107.179 - - [21/Oct/2015:01:18:22 -0700] "GET / HTTP/1.1" 200 8324 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:33 -0700] "GET /theme.css HTTP/1.1" 200 3381 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /images/parkway_east_chiropractic_01.jpg HTTP/1.1" 200 479 "http://birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /images/parkway_east_chiropractic_03.jpg HTTP/1.1" 200 16458 "http://birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /images/parkway_east_chiropractic_10.jpg HTTP/1.1" 200 3178 "http://birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /images/parkway_east_chiropractic_07.jpg HTTP/1.1" 200 582 "http://birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /images/parkway_east_chiropractic_06.jpg HTTP/1.1" 200 3422 "http://birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /images/parkway_east_chiropractic_05.jpg HTTP/1.1" 200 54500 "http://birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:06:01:34 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0" "birminghambackandjointcare.com"
180.76.15.27 - - [21/Oct/2015:09:18:16 -0700] "GET /services.html HTTP/1.1" 200 6567 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.birminghambackandjointcare.com"
67.78.237.242 - - [21/Oct/2015:09:21:26 -0700] "GET /images/gift-cards.jpg HTTP/1.1" 200 12930 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "birminghambackandjointcare.com"
144.76.8.132 - - [21/Oct/2015:09:27:43 -0700] "GET /contact.html HTTP/1.1" 200 4846 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "birminghambackandjointcare.com"
144.76.8.132 - - [21/Oct/2015:09:27:45 -0700] "GET /index-2.html HTTP/1.1" 200 8793 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "birminghambackandjointcare.com"
144.76.8.132 - - [21/Oct/2015:09:27:46 -0700] "GET /offer.html HTTP/1.1" 200 6123 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "birminghambackandjointcare.com"
144.76.8.132 - - [21/Oct/2015:09:27:48 -0700] "GET /services.html HTTP/1.1" 200 6567 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "birminghambackandjointcare.com"
157.55.39.253 - - [21/Oct/2015:11:42:10 -0700] "GET /robots.txt HTTP/1.1" 200 101 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
207.46.13.181 - - [21/Oct/2015:12:08:34 -0700] "GET /services.html HTTP/1.1" 200 6567 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
